         907084 function calls (882508 primitive calls) in 138.397 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  138.397  138.397 watermark_extractor.py:793(main)
        1    5.412    5.412  137.225  137.225 watermark_extractor.py:598(extract_watermark_from_video)
      128    4.264    0.033  131.766    1.029 watermark_extractor.py:437(extract_frame_pair)
      256    1.940    0.008  113.751    0.444 watermark_extractor.py:118(ring_division)
     2048  107.318    0.052  107.318    0.052 watermark_extractor.py:151(<listcomp>)
      256    0.080    0.000   13.287    0.052 watermark_extractor.py:77(dtcwt_transform)
      256    1.129    0.004   12.381    0.048 transform2d.py:40(forward)
     1536    1.600    0.001    8.576    0.006 lowlevel.py:47(colfilter)
     1536    6.279    0.004    6.756    0.004 lowlevel.py:23(_column_convolve)
     4992    0.023    0.000    4.226    0.001 fromnumeric.py:53(_wrapfunc)
     2048    0.028    0.000    3.271    0.002 numeric.py:561(argwhere)
     2048    0.007    0.000    2.805    0.001 fromnumeric.py:1881(nonzero)
     2048    2.787    0.001    2.787    0.001 {method 'nonzero' of 'numpy.ndarray' objects}
      768    2.018    0.003    2.460    0.003 transform2d.py:301(q2c)
        1    0.022    0.022    1.171    1.171 watermark_extractor.py:394(read_video)
      908    1.139    0.001    1.139    0.001 {method 'read' of 'cv2.VideoCapture' objects}
      256    0.002    0.000    0.799    0.003 function_base.py:5625(digitize)
      256    0.001    0.000    0.794    0.003 fromnumeric.py:1332(searchsorted)
      256    0.792    0.003    0.792    0.003 {method 'searchsorted' of 'numpy.ndarray' objects}
     2176    0.572    0.000    0.572    0.000 {built-in method numpy.zeros}
      256    0.001    0.000    0.544    0.002 transform2d.py:27(__init__)
      512    0.004    0.000    0.542    0.001 coeffs.py:13(_load_from_file)
     3584    0.013    0.000    0.526    0.000 coeffs.py:23(<genexpr>)
     3072    0.020    0.000    0.505    0.000 npyio.py:235(__getitem__)
     2048    0.003    0.000    0.432    0.000 fromnumeric.py:588(transpose)
     2048    0.019    0.000    0.418    0.000 fromnumeric.py:40(_wrapit)
      768    0.391    0.001    0.404    0.001 shape_base.py:659(dstack)
     6400    0.397    0.000    0.397    0.000 {built-in method numpy.asarray}
      256    0.000    0.000    0.319    0.001 coeffs.py:58(qshift)
     6272    0.282    0.000    0.282    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     3072    0.034    0.000    0.276    0.000 format.py:738(read_array)
     2560    0.012    0.000    0.260    0.000 fromnumeric.py:71(_wrapreduction)
      256    0.001    0.000    0.224    0.001 coeffs.py:27(biort)
     3840    0.221    0.000    0.221    0.000 {method 'astype' of 'numpy.ndarray' objects}
      640    0.002    0.000    0.208    0.000 fromnumeric.py:2100(clip)
      384    0.002    0.000    0.202    0.001 {method 'clip' of 'numpy.ndarray' objects}
      640    0.201    0.000    0.201    0.000 _methods.py:90(_clip)
      768    0.004    0.000    0.176    0.000 fromnumeric.py:2836(min)
     6144    0.030    0.000    0.145    0.000 zipfile.py:1475(open)
     3072    0.019    0.000    0.144    0.000 format.py:587(_read_array_header)
      256    0.116    0.000    0.123    0.000 numeric.py:1673(indices)
      128    0.004    0.000    0.118    0.001 watermark_extractor.py:183(compute_adaptive_alpha_entropy)
    15360    0.019    0.000    0.103    0.000 zipfile.py:899(read)
      256    0.102    0.000    0.102    0.000 {cvtColor}
     3072    0.005    0.000    0.100    0.000 utils.py:1027(safe_eval)
     1536    0.090    0.000    0.095    0.000 utils.py:136(reflect)
     3072    0.007    0.000    0.095    0.000 ast.py:54(literal_eval)
      404    0.001    0.000    0.087    0.000 __init__.py:2089(info)
      404    0.001    0.000    0.086    0.000 __init__.py:1436(info)
      404    0.002    0.000    0.085    0.000 __init__.py:1565(_log)
     6144    0.018    0.000    0.082    0.000 zipfile.py:981(_read1)
    12288    0.014    0.000    0.066    0.000 format.py:951(_read_bytes)
      128    0.006    0.000    0.066    0.001 watermark_extractor.py:163(calculate_entropies)
     3328    0.017    0.000    0.064    0.000 utils.py:98(asfarray)
     3072    0.002    0.000    0.063    0.000 ast.py:33(parse)
     1536    0.046    0.000    0.063    0.000 lowlevel.py:9(_centered)
     3072    0.061    0.000    0.061    0.000 {built-in method builtins.compile}
      768    0.002    0.000    0.061    0.000 fromnumeric.py:2692(max)
     1536    0.057    0.000    0.059    0.000 ufunclike.py:18(fix)
    18432    0.027    0.000    0.058    0.000 zipfile.py:737(read)
      404    0.001    0.000    0.056    0.000 __init__.py:1591(handle)
      404    0.001    0.000    0.055    0.000 __init__.py:1645(callHandlers)
      404    0.001    0.000    0.054    0.000 __init__.py:939(handle)
      404    0.001    0.000    0.052    0.000 __init__.py:1178(emit)
      404    0.001    0.000    0.051    0.000 __init__.py:1071(emit)
      128    0.029    0.000    0.051    0.000 histograms.py:678(histogram)
     3072    0.004    0.000    0.050    0.000 format.py:223(read_magic)
     6144    0.019    0.000    0.047    0.000 zipfile.py:789(__init__)
     3328    0.011    0.000    0.044    0.000 type_check.py:83(asfarray)
      256    0.000    0.000    0.044    0.000 watermark_extractor.py:69(dct_1d)
      256    0.001    0.000    0.043    0.000 _realtransforms.py:235(dct)
      256    0.001    0.000    0.043    0.000 realtransforms.py:8(_r2r)
      256    0.014    0.000    0.039    0.000 _decomp_svd.py:13(svd)
      256    0.038    0.000    0.038    0.000 {built-in method scipy.fft._pocketfft.pypocketfft.dct}
     4352    0.014    0.000    0.035    0.000 numerictypes.py:357(issubdtype)
     1024    0.004    0.000    0.029    0.000 utils.py:107(appropriate_complex_type_for)
     6144    0.007    0.000    0.028    0.000 zipfile.py:1017(_read2)
      404    0.001    0.000    0.026    0.000 __init__.py:1060(flush)
27648/3072    0.020    0.000    0.024    0.000 ast.py:79(_convert)
      404    0.024    0.000    0.024    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
     6144    0.004    0.000    0.024    0.000 zipfile.py:697(_get_decompressor)
     2432    0.024    0.000    0.024    0.000 {built-in method numpy.arange}
      404    0.001    0.000    0.021    0.000 __init__.py:916(format)
     6144    0.021    0.000    0.021    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      404    0.002    0.000    0.021    0.000 __init__.py:650(format)
     8704    0.012    0.000    0.020    0.000 numerictypes.py:283(issubclass_)
    13824    0.020    0.000    0.020    0.000 {built-in method numpy.asanyarray}
      512    0.001    0.000    0.019    0.000 fromnumeric.py:2322(any)
      404    0.001    0.000    0.019    0.000 __init__.py:1550(makeRecord)
    18434    0.019    0.000    0.019    0.000 {method 'tell' of '_io.BufferedReader' objects}
      384    0.012    0.000    0.019    0.000 function_base.py:24(linspace)
     6144    0.008    0.000    0.018    0.000 zipfile.py:1033(close)
     6144    0.018    0.000    0.018    0.000 {built-in method zlib.decompressobj}
      404    0.006    0.000    0.018    0.000 __init__.py:282(__init__)
     9234    0.009    0.000    0.017    0.000 {method 'decode' of 'bytes' objects}
     4096    0.016    0.000    0.016    0.000 {built-in method numpy.array}
      256    0.013    0.000    0.015    0.000 lapack.py:982(_compute_lwork)
      404    0.002    0.000    0.015    0.000 __init__.py:582(formatTime)
   139322    0.014    0.000    0.014    0.000 {built-in method builtins.len}
      512    0.002    0.000    0.014    0.000 fromnumeric.py:2177(sum)
     1794    0.009    0.000    0.014    0.000 __init__.py:2099(debug)
     1536    0.006    0.000    0.014    0.000 utils.py:126(as_column_vector)
      512    0.004    0.000    0.013    0.000 _dtype.py:34(__str__)
      768    0.010    0.000    0.012    0.000 shape_base.py:139(atleast_3d)
      128    0.001    0.000    0.012    0.000 fromnumeric.py:3654(var)
      128    0.005    0.000    0.012    0.000 _methods.py:135(_var)
      128    0.002    0.000    0.012    0.000 histograms.py:360(_get_bin_edges)
      256    0.003    0.000    0.011    0.000 common.py:29(__init__)
        1    0.000    0.000    0.011    0.011 watermark_extractor.py:364(load_saved_rings)
    99197    0.011    0.000    0.011    0.000 {built-in method builtins.isinstance}
    20736    0.011    0.000    0.011    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.011    0.011 __init__.py:274(load)
        1    0.000    0.000    0.010    0.010 __init__.py:299(loads)
        1    0.000    0.000    0.010    0.010 decoder.py:332(decode)
        1    0.010    0.010    0.010    0.010 decoder.py:343(raw_decode)
     1536    0.010    0.000    0.010    0.000 {method 'copy' of 'numpy.ndarray' objects}
     1536    0.009    0.000    0.009    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      512    0.004    0.000    0.009    0.000 _dtype.py:346(_name_get)
     1792    0.007    0.000    0.009    0.000 shape_base.py:81(atleast_2d)
      256    0.002    0.000    0.008    0.000 _util.py:275(_asarray_validated)
     3072    0.002    0.000    0.008    0.000 numerictypes.py:325(issubsctype)
        1    0.008    0.008    0.008    0.008 {method 'release' of 'cv2.VideoCapture' objects}
     7953    0.008    0.000    0.008    0.000 {built-in method builtins.getattr}
      768    0.002    0.000    0.008    0.000 shape_base.py:655(_dstack_dispatcher)
      404    0.004    0.000    0.008    0.000 __init__.py:1514(findCaller)
      404    0.008    0.000    0.008    0.000 {built-in method time.strftime}
      512    0.003    0.000    0.007    0.000 ntpath.py:77(join)
     1536    0.007    0.000    0.007    0.000 lowlevel.py:16(<listcomp>)
     6144    0.007    0.000    0.007    0.000 {method 'flush' of 'zlib.Decompress' objects}
     6162    0.003    0.000    0.006    0.000 cp437.py:14(decode)
     6144    0.004    0.000    0.006    0.000 zipfile.py:748(close)
      404    0.006    0.000    0.006    0.000 {built-in method time.localtime}
      256    0.002    0.000    0.006    0.000 function_base.py:564(asarray_chkfinite)
      404    0.001    0.000    0.006    0.000 ntpath.py:214(basename)
     6144    0.003    0.000    0.006    0.000 zipfile.py:934(_update_crc)
     3072    0.005    0.000    0.005    0.000 format.py:282(descr_to_dtype)
      768    0.003    0.000    0.005    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
     6144    0.003    0.000    0.005    0.000 numerictypes.py:229(obj2sctype)
      404    0.003    0.000    0.005    0.000 ntpath.py:180(split)
     9182    0.005    0.000    0.005    0.000 {built-in method builtins.hasattr}
     2560    0.005    0.000    0.005    0.000 fromnumeric.py:3176(ndim)
     1428    0.004    0.000    0.005    0.000 ntpath.py:124(splitdrive)
     1794    0.003    0.000    0.005    0.000 __init__.py:1424(debug)
      256    0.005    0.000    0.005    0.000 histograms.py:334(_unsigned_subtract)
