         64288 function calls (64280 primitive calls) in 98.619 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   98.619   98.619 watermark_embedder.py:440(main)
        1    0.009    0.009   95.550   95.550 watermark_embedder.py:388(embed_watermark_in_video)
      454    0.015    0.000   95.485    0.210 _base.py:201(as_completed)
      469    0.014    0.000   95.482    0.204 threading.py:563(wait)
      922    0.010    0.000   95.468    0.104 threading.py:280(wait)
     3708   95.446    0.026   95.446    0.026 {method 'acquire' of '_thread.lock' objects}
        1    0.013    0.013    2.102    2.102 watermark_embedder.py:257(write_video)
      907    2.088    0.002    2.088    0.002 {method 'write' of 'cv2.VideoWriter' objects}
        1    0.019    0.019    0.964    0.964 watermark_embedder.py:238(read_video)
      908    0.931    0.001    0.931    0.001 {method 'read' of 'cv2.VideoCapture' objects}
        1    0.000    0.000    0.040    0.040 watermark_embedder.py:411(<dictcomp>)
      453    0.001    0.000    0.040    0.000 thread.py:161(submit)
      453    0.001    0.000    0.037    0.000 thread.py:180(_adjust_thread_count)
       20    0.000    0.000    0.032    0.002 threading.py:880(start)
      903    0.006    0.000    0.013    0.000 _base.py:179(_yield_finished_futures)
        1    0.012    0.012    0.012    0.012 {method 'release' of 'cv2.VideoCapture' objects}
      949    0.008    0.000    0.008    0.000 {built-in method _thread.allocate_lock}
        1    0.001    0.001    0.006    0.006 __init__.py:120(dump)
      453    0.004    0.000    0.005    0.000 _base.py:418(result)
      453    0.002    0.000    0.005    0.000 threading.py:411(acquire)
      922    0.003    0.000    0.004    0.000 threading.py:268(_acquire_restore)
      449    0.003    0.000    0.004    0.000 threading.py:553(clear)
     2277    0.003    0.000    0.003    0.000 threading.py:259(__exit__)
       22    0.000    0.000    0.003    0.000 __init__.py:2089(info)
       22    0.000    0.000    0.003    0.000 __init__.py:1436(info)
       22    0.000    0.000    0.003    0.000 __init__.py:1565(_log)
     2277    0.002    0.000    0.003    0.000 threading.py:256(__enter__)
     3197    0.002    0.000    0.003    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     3175    0.000    0.000    0.003    0.000 encoder.py:413(_iterencode)
     3175    0.001    0.000    0.002    0.000 encoder.py:333(_iterencode_dict)
      906    0.002    0.000    0.002    0.000 {method 'remove' of 'set' objects}
      453    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
       22    0.000    0.000    0.002    0.000 __init__.py:1591(handle)
       22    0.000    0.000    0.002    0.000 __init__.py:1645(callHandlers)
       20    0.002    0.000    0.002    0.000 {built-in method _thread.start_new_thread}
       22    0.000    0.000    0.002    0.000 __init__.py:939(handle)
      453    0.000    0.000    0.001    0.000 _base.py:318(__init__)
       22    0.000    0.000    0.001    0.000 __init__.py:1178(emit)
       22    0.000    0.000    0.001    0.000 __init__.py:1071(emit)
      922    0.001    0.000    0.001    0.000 threading.py:271(_is_owned)
     3197    0.001    0.000    0.001    0.000 cp1251.py:18(encode)
      475    0.001    0.000    0.001    0.000 threading.py:228(__init__)
        1    0.001    0.001    0.001    0.001 {method 'release' of 'cv2.VideoWriter' objects}
      922    0.001    0.000    0.001    0.000 threading.py:265(_release_save)
      453    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
     2265    0.001    0.000    0.001    0.000 encoder.py:277(_iterencode_list)
        1    0.000    0.000    0.001    0.001 _base.py:636(__exit__)
        1    0.000    0.000    0.001    0.001 thread.py:216(shutdown)
        1    0.000    0.000    0.001    0.001 __init__.py:40(__getattr__)
        2    0.001    0.000    0.001    0.000 {built-in method io.open}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1002(_find_and_load)
       20    0.000    0.000    0.001    0.000 threading.py:1028(join)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
       22    0.000    0.000    0.001    0.000 __init__.py:1550(makeRecord)
