         54490 function calls (54482 primitive calls) in 425.663 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.019    0.019  425.663  425.663 watermark_embedder.py:714(main)
        1    0.017    0.017  279.524  279.524 line_profiler.py:146(wrapper)
        1    0.051    0.051  279.505  279.505 watermark_embedder.py:648(embed_watermark_in_video)
       48    0.002    0.000  279.341    5.820 threading.py:563(wait)
       80    0.009    0.000  279.340    3.492 threading.py:280(wait)
      336  279.335    0.831  279.335    0.831 {method 'acquire' of '_thread.lock' objects}
       33    0.004    0.000  279.254    8.462 _base.py:201(as_completed)
        1    0.180    0.180  104.806  104.806 watermark_embedder.py:361(write_video)
     4314  104.475    0.024  104.475    0.024 {method 'write' of 'cv2.VideoWriter' objects}
        1    0.161    0.161   41.169   41.169 watermark_embedder.py:323(read_video)
     4315   40.729    0.009   40.729    0.009 {method 'read' of 'cv2.VideoCapture' objects}
       18    0.020    0.001    0.192    0.011 __init__.py:2089(info)
        1    0.185    0.185    0.185    0.185 {method 'release' of 'cv2.VideoCapture' objects}
       18    0.002    0.000    0.171    0.009 __init__.py:1436(info)
       18    0.008    0.000    0.164    0.009 __init__.py:1565(_log)
        1    0.000    0.000    0.112    0.112 watermark_embedder.py:681(<dictcomp>)
       32    0.003    0.000    0.112    0.004 thread.py:161(submit)
        1    0.004    0.004    0.111    0.111 watermark_embedder.py:306(add_ecc)
       32    0.002    0.000    0.107    0.003 thread.py:180(_adjust_thread_count)
       16    0.000    0.000    0.097    0.006 threading.py:880(start)
       18    0.004    0.000    0.080    0.004 __init__.py:1591(handle)
       18    0.009    0.000    0.076    0.004 __init__.py:1645(callHandlers)
       18    0.002    0.000    0.067    0.004 __init__.py:939(handle)
       18    0.005    0.000    0.061    0.003 __init__.py:1178(emit)
       18    0.004    0.000    0.057    0.003 __init__.py:1071(emit)
        1    0.000    0.000    0.053    0.053 _bch.py:283(encode)
        1    0.001    0.001    0.053    0.053 _cyclic.py:55(encode)
        1    0.001    0.001    0.052    0.052 _linear.py:57(encode)
     11/7    0.010    0.001    0.045    0.006 {built-in method numpy.core._multiarray_umath.implement_array_function}
       18    0.004    0.000    0.041    0.002 __init__.py:1550(makeRecord)
       18    0.018    0.001    0.037    0.002 __init__.py:282(__init__)
        1    0.002    0.002    0.037    0.037 _linear.py:264(_encode_message)
        1    0.005    0.005    0.036    0.036 __init__.py:120(dump)
       18    0.020    0.001    0.035    0.002 __init__.py:1514(findCaller)
        2    0.004    0.002    0.035    0.017 _array.py:56(__new__)
        1    0.033    0.033    0.033    0.033 {method 'release' of 'cv2.VideoWriter' objects}
        2    0.005    0.002    0.031    0.015 _array.py:38(__new__)
        1    0.001    0.001    0.029    0.029 _array.py:523(__matmul__)
       18    0.003    0.000    0.029    0.002 __init__.py:916(format)
        1    0.004    0.004    0.028    0.028 _ufunc.py:660(__array_ufunc__)
       18    0.002    0.000    0.027    0.001 __init__.py:650(format)
        1    0.001    0.001    0.023    0.023 _ufunc.py:553(__call__)
        1    0.003    0.003    0.022    0.022 _linalg.py:184(__call__)
        2    0.005    0.002    0.021    0.011 _array.py:126(_verify_array_like_types_and_values)
     4987    0.020    0.000    0.020    0.000 {method 'append' of 'list' objects}
     4488    0.011    0.000    0.020    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.019    0.019 <__array_function__ internals>:177(pad)
        1    0.005    0.005    0.019    0.019 arraypad.py:529(pad)
     4470    0.003    0.000    0.018    0.000 encoder.py:413(_iterencode)
