         16613093 function calls (16343272 primitive calls) in 141.822 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  141.822  141.822 watermark_embedder.py:754(main)
        1    0.993    0.993  138.519  138.519 watermark_embedder.py:592(embed_watermark_in_video)
      453    5.658    0.012  112.279    0.248 watermark_embedder.py:434(embed_frame_pair)
     1359    0.355    0.000   65.491    0.048 watermark_embedder.py:142(dtcwt_transform)
    13590   11.136    0.001   64.975    0.005 lowlevel.py:47(colfilter)
     1359    5.631    0.004   59.113    0.043 transform2d.py:40(forward)
    13590   48.131    0.004   52.080    0.004 lowlevel.py:23(_column_convolve)
      906    0.217    0.000   40.430    0.045 watermark_embedder.py:166(dtcwt_inverse)
      906    4.520    0.005   36.173    0.040 transform2d.py:190(inverse)
     4077   10.606    0.003   12.862    0.003 transform2d.py:301(q2c)
     2265    0.010    0.000    9.353    0.004 transform2d.py:27(__init__)
     4530    0.035    0.000    9.336    0.002 coeffs.py:13(_load_from_file)
    31710    0.139    0.000    9.237    0.000 coeffs.py:23(<genexpr>)
     3624    0.022    0.000    9.202    0.003 realtransforms.py:8(_r2r)
     3624    9.111    0.003    9.111    0.003 {built-in method scipy.fft._pocketfft.pypocketfft.dct}
    27180    0.192    0.000    9.005    0.000 npyio.py:232(__getitem__)
165704/114411    3.577    0.000    8.695    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    27180    0.328    0.000    6.911    0.000 format.py:731(read_array)
     2718    5.708    0.002    6.206    0.002 transform2d.py:324(c2q)
     2265    0.003    0.000    5.881    0.003 coeffs.py:58(qshift)
    27180    0.231    0.000    5.627    0.000 format.py:594(_read_array_header)
    20386    4.650    0.000    4.650    0.000 {built-in method numpy.zeros}
     1812    0.004    0.000    4.639    0.003 watermark_embedder.py:134(dct_1d)
     1812    0.008    0.000    4.635    0.003 _realtransforms.py:235(dct)
      453    2.043    0.005    4.614    0.010 watermark_embedder.py:290(calculate_perceptual_mask)
     1812    0.005    0.000    4.588    0.003 watermark_embedder.py:138(idct_1d)
     1812    0.008    0.000    4.583    0.003 _realtransforms.py:383(idct)
    27180    0.461    0.000    4.124    0.000 format.py:559(_filter_header)
    25368    3.751    0.000    3.751    0.000 {method 'copy' of 'numpy.ndarray' objects}
