         35712 function calls (35704 primitive calls) in 98.567 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   98.567   98.567 watermark_embedder.py:564(main)
        1    0.004    0.004   95.532   95.532 watermark_embedder.py:456(embed_watermark_in_video)
       62    0.001    0.000   95.499    1.540 threading.py:563(wait)
      108    0.001    0.000   95.497    0.884 threading.py:280(wait)
      448   95.495    0.213   95.495    0.213 {method 'acquire' of '_thread.lock' objects}
       47    0.002    0.000   95.473    2.031 _base.py:201(as_completed)
        1    0.015    0.015    2.049    2.049 watermark_embedder.py:253(write_video)
      907    2.031    0.002    2.031    0.002 {method 'write' of 'cv2.VideoWriter' objects}
        1    0.019    0.019    0.982    0.982 watermark_embedder.py:230(read_video)
      908    0.954    0.001    0.954    0.001 {method 'read' of 'cv2.VideoCapture' objects}
        1    0.000    0.000    0.034    0.034 watermark_embedder.py:517(<dictcomp>)
       46    0.000    0.000    0.034    0.001 thread.py:161(submit)
       46    0.000    0.000    0.033    0.001 thread.py:180(_adjust_thread_count)
       16    0.000    0.000    0.030    0.002 threading.py:880(start)
        1    0.001    0.001    0.017    0.017 __init__.py:120(dump)
     3198    0.012    0.000    0.014    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.008    0.008    0.008    0.008 {method 'release' of 'cv2.VideoCapture' objects}
       23    0.000    0.000    0.003    0.000 __init__.py:2089(info)
       23    0.000    0.000    0.003    0.000 __init__.py:1436(info)
       23    0.000    0.000    0.003    0.000 __init__.py:1565(_log)
     3175    0.000    0.000    0.003    0.000 encoder.py:413(_iterencode)
       46    0.002    0.000    0.003    0.000 threading.py:411(acquire)
     3175    0.001    0.000    0.002    0.000 encoder.py:333(_iterencode_dict)
       23    0.000    0.000    0.002    0.000 __init__.py:1591(handle)
        1    0.002    0.002    0.002    0.002 {method 'release' of 'cv2.VideoWriter' objects}
       23    0.000    0.000    0.002    0.000 __init__.py:1645(callHandlers)
       23    0.000    0.000    0.002    0.000 __init__.py:939(handle)
       23    0.000    0.000    0.002    0.000 __init__.py:1178(emit)
       23    0.000    0.000    0.001    0.000 __init__.py:1071(emit)
       16    0.001    0.000    0.001    0.000 {built-in method _thread.start_new_thread}
     3198    0.001    0.000    0.001    0.000 cp1251.py:18(encode)
       93    0.001    0.000    0.001    0.000 _base.py:179(_yield_finished_futures)
        2    0.001    0.001    0.001    0.001 {built-in method io.open}
     2265    0.001    0.000    0.001    0.000 encoder.py:277(_iterencode_list)
        1    0.000    0.000    0.001    0.001 _base.py:636(__exit__)
        1    0.000    0.000    0.001    0.001 thread.py:216(shutdown)
        1    0.000    0.000    0.001    0.001 watermark_embedder.py:216(add_ecc)
       16    0.000    0.000    0.001    0.000 threading.py:1028(join)
       23    0.000    0.000    0.001    0.000 __init__.py:1550(makeRecord)
       16    0.000    0.000    0.001    0.000 threading.py:1066(_wait_for_tstate_lock)
       23    0.000    0.000    0.001    0.000 __init__.py:282(__init__)
     1455    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      128    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
       23    0.000    0.000    0.001    0.000 __init__.py:916(format)
       23    0.000    0.000    0.001    0.000 __init__.py:650(format)
        1    0.001    0.001    0.001    0.001 {VideoWriter_fourcc}
     3198    0.001    0.000    0.001    0.000 {built-in method _codecs.charmap_encode}
       23    0.000    0.000    0.001    0.000 __init__.py:582(formatTime)
       23    0.000    0.000    0.001    0.000 __init__.py:1060(flush)
       46    0.000    0.000    0.000    0.000 _base.py:418(result)
       23    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       16    0.000    0.000    0.000    0.000 threading.py:802(__init__)
     11/7    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     4683    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 _bch.py:283(encode)
        1    0.000    0.000    0.000    0.000 _cyclic.py:55(encode)
        1    0.000    0.000    0.000    0.000 _linear.py:57(encode)
      108    0.000    0.000    0.000    0.000 threading.py:268(_acquire_restore)
        3    0.000    0.000    0.000    0.000 {built-in method nt.stat}
      246    0.000    0.000    0.000    0.000 threading.py:259(__exit__)
       64    0.000    0.000    0.000    0.000 threading.py:228(__init__)
       46    0.000    0.000    0.000    0.000 threading.py:553(clear)
       46    0.000    0.000    0.000    0.000 _base.py:318(__init__)
       23    0.000    0.000    0.000    0.000 __init__.py:1514(findCaller)
        2    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
      246    0.000    0.000    0.000    0.000 threading.py:256(__enter__)
        1    0.000    0.000    0.000    0.000 _linear.py:264(_encode_message)
       23    0.000    0.000    0.000    0.000 ntpath.py:214(basename)
     2031    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       23    0.000    0.000    0.000    0.000 ntpath.py:180(split)
       23    0.000    0.000    0.000    0.000 {built-in method time.strftime}
        1    0.000    0.000    0.000    0.000 {method 'isOpened' of 'cv2.VideoWriter' objects}
        1    0.000    0.000    0.000    0.000 _array.py:523(__matmul__)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(pad)
       23    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        1    0.000    0.000    0.000    0.000 _ufunc.py:660(__array_ufunc__)
        1    0.000    0.000    0.000    0.000 arraypad.py:529(pad)
       46    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       92    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.000    0.000 _ufunc.py:553(__call__)
        1    0.000    0.000    0.000    0.000 _linalg.py:184(__call__)
        2    0.000    0.000    0.000    0.000 _array.py:56(__new__)
        1    0.000    0.000    0.000    0.000 watermark_embedder.py:553(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _linalg.py:21(_lapack_linalg)
        2    0.000    0.000    0.000    0.000 _array.py:38(__new__)
       17    0.000    0.000    0.000    0.000 threading.py:528(__init__)
       24    0.000    0.000    0.000    0.000 ntpath.py:203(splitext)
      108    0.000    0.000    0.000    0.000 threading.py:271(_is_owned)
      108    0.000    0.000    0.000    0.000 threading.py:265(_release_save)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
       46    0.000    0.000    0.000    0.000 ntpath.py:44(normcase)
       46    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        2    0.000    0.000    0.000    0.000 _array.py:126(_verify_array_like_types_and_values)
       46    0.000    0.000    0.000    0.000 threading.py:82(RLock)
       16    0.000    0.000    0.000    0.000 threading.py:992(_stop)
        2    0.000    0.000    0.000    0.000 arraypad.py:454(_as_pairs)
       24    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
      4/2    0.000    0.000    0.000    0.000 _function.py:349(__array_function__)
       23    0.000    0.000    0.000    0.000 __init__.py:634(formatMessage)
        1    0.000    0.000    0.000    0.000 _linear.py:193(_check_and_convert_message)
      309    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      108    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       23    0.000    0.000    0.000    0.000 ntpath.py:124(splitdrive)
      4/2    0.000    0.000    0.000    0.000 {function FunctionMixin.__array_function__ at 0x000002D0B97D5820}
       23    0.000    0.000    0.000    0.000 __init__.py:432(format)
        1    0.000    0.000    0.000    0.000 _array.py:170(_verify_array_values)
      453    0.000    0.000    0.000    0.000 {method 'tolist' of 'numpy.ndarray' objects}
       46    0.000    0.000    0.000    0.000 _base.py:388(__get_result)
        1    0.000    0.000    0.000    0.000 genericpath.py:48(getsize)
        6    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
       55    0.000    0.000    0.000    0.000 threading.py:1358(current_thread)
       16    0.000    0.000    0.000    0.000 weakref.py:428(__setitem__)
       23    0.000    0.000    0.000    0.000 __init__.py:429(_format)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(round_)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(atleast_2d)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(hstack)
        4    0.000    0.000    0.000    0.000 _array.py:130(_view)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(tile)
       16    0.000    0.000    0.000    0.000 threading.py:775(_maintain_shutdown_locks)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3754(round_)
       23    0.000    0.000    0.000    0.000 __init__.py:628(usesTime)
       92    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 shape_base.py:1191(tile)
        2    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
      453    0.000    0.000    0.000    0.000 {built-in method _json.encode_basestring_ascii}
       46    0.000    0.000    0.000    0.000 __init__.py:896(acquire)
        1    0.000    0.000    0.000    0.000 shape_base.py:299(hstack)
      154    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
      454    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       23    0.000    0.000    0.000    0.000 __init__.py:160(<lambda>)
       16    0.000    0.000    0.000    0.000 _weakrefset.py:86(add)
       46    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        1    0.000    0.000    0.000    0.000 thread.py:123(__init__)
       16    0.000    0.000    0.000    0.000 threading.py:1229(_make_invoke_excepthook)
       46    0.000    0.000    0.000    0.000 thread.py:47(__init__)
       23    0.000    0.000    0.000    0.000 __init__.py:421(usesTime)
       72    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(any)
        1    0.000    0.000    0.000    0.000 arraypad.py:86(_pad_simple)
        1    0.000    0.000    0.000    0.000 shape_base.py:81(atleast_2d)
       23    0.000    0.000    0.000    0.000 __init__.py:119(getLevelName)
       93    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       47    0.000    0.000    0.000    0.000 {method 'put' of '_queue.SimpleQueue' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _locale._getdefaultlocale}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(around)
        3    0.000    0.000    0.000    0.000 _array.py:413(__getitem__)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(concatenate)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:2333(any)
       92    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
        1    0.000    0.000    0.000    0.000 _base.py:157(_create_and_install_waiters)
       32    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(unpackbits)
