         20948 function calls (20848 primitive calls) in 59.800 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   59.800   59.800 watermark_extractor.py:451(main)
        1    0.005    0.005   59.071   59.071 watermark_extractor.py:352(extract_watermark_from_video)
      224    0.007    0.000   59.012    0.263 threading.py:563(wait)
      429    0.006    0.000   59.005    0.138 threading.py:280(wait)
     1736   58.994    0.034   58.994    0.034 {method 'acquire' of '_thread.lock' objects}
      206    0.007    0.000   58.988    0.286 _base.py:201(as_completed)
        1    0.015    0.015    0.727    0.727 watermark_extractor.py:269(read_video)
      412    0.699    0.002    0.699    0.002 {method 'read' of 'cv2.VideoCapture' objects}
        1    0.000    0.000    0.047    0.047 watermark_extractor.py:409(<dictcomp>)
      205    0.001    0.000    0.047    0.000 thread.py:161(submit)
      205    0.001    0.000    0.045    0.000 thread.py:180(_adjust_thread_count)
       20    0.000    0.000    0.043    0.002 threading.py:880(start)
        1    0.000    0.000    0.013    0.013 __init__.py:40(__getattr__)
        1    0.000    0.000    0.013    0.013 <frozen importlib._bootstrap>:1002(_find_and_load)
        1    0.000    0.000    0.013    0.013 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
        1    0.000    0.000    0.012    0.012 watermark_extractor.py:207(decode_ecc)
        1    0.000    0.000    0.012    0.012 <frozen importlib._bootstrap>:659(_load_unlocked)
        1    0.000    0.000    0.012    0.012 <frozen importlib._bootstrap_external>:844(exec_module)
        1    0.000    0.000    0.012    0.012 <frozen importlib._bootstrap_external>:916(get_code)
        1    0.012    0.012    0.012    0.012 {method 'release' of 'cv2.VideoCapture' objects}
        2    0.000    0.000    0.012    0.006 <frozen importlib._bootstrap_external>:1036(get_data)
        1    0.000    0.000    0.012    0.012 _bch.py:495(decode)
        1    0.000    0.000    0.012    0.012 _cyclic.py:102(decode)
        1    0.000    0.000    0.012    0.012 _linear.py:135(decode)
        1    0.000    0.000    0.012    0.012 _bch.py:656(_decode_codeword)
        1    0.000    0.000    0.011    0.011 _bch.py:1212(__call__)
        1    0.011    0.011    0.011    0.011 _bch.py:1241(implementation)
        2    0.011    0.006    0.011    0.006 {method 'read' of '_io.BufferedReader' objects}
      410    0.003    0.000    0.007    0.000 _base.py:179(_yield_finished_futures)
      456    0.004    0.000    0.004    0.000 {built-in method _thread.allocate_lock}
       24    0.000    0.000    0.003    0.000 __init__.py:2089(info)
       26    0.000    0.000    0.003    0.000 __init__.py:1565(_log)
       24    0.000    0.000    0.003    0.000 __init__.py:1436(info)
      205    0.002    0.000    0.003    0.000 _base.py:418(result)
      429    0.001    0.000    0.002    0.000 threading.py:268(_acquire_restore)
      204    0.001    0.000    0.002    0.000 threading.py:553(clear)
     1043    0.001    0.000    0.002    0.000 threading.py:256(__enter__)
     1043    0.001    0.000    0.002    0.000 threading.py:259(__exit__)
       20    0.002    0.000    0.002    0.000 {built-in method _thread.start_new_thread}
       26    0.000    0.000    0.002    0.000 __init__.py:1591(handle)
       26    0.000    0.000    0.002    0.000 __init__.py:1645(callHandlers)
      205    0.000    0.000    0.002    0.000 threading.py:411(acquire)
       26    0.000    0.000    0.002    0.000 __init__.py:939(handle)
       26    0.000    0.000    0.001    0.000 __init__.py:1178(emit)
       26    0.000    0.000    0.001    0.000 __init__.py:1071(emit)
        1    0.000    0.000    0.001    0.001 _base.py:636(__exit__)
        1    0.000    0.000    0.001    0.001 thread.py:216(shutdown)
       20    0.000    0.000    0.001    0.000 threading.py:1028(join)
       20    0.000    0.000    0.001    0.000 threading.py:1066(_wait_for_tstate_lock)
       26    0.000    0.000    0.001    0.000 __init__.py:1550(makeRecord)
      205    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
       26    0.000    0.000    0.001    0.000 __init__.py:282(__init__)
      205    0.000    0.000    0.001    0.000 _base.py:318(__init__)
      429    0.000    0.000    0.001    0.000 threading.py:271(_is_owned)
      410    0.001    0.000    0.001    0.000 {method 'remove' of 'set' objects}
      227    0.001    0.000    0.001    0.000 threading.py:228(__init__)
       26    0.000    0.000    0.001    0.000 __init__.py:916(format)
       26    0.000    0.000    0.001    0.000 __init__.py:650(format)
      205    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
      831    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        5    0.001    0.000    0.001    0.000 {built-in method nt.stat}
      429    0.000    0.000    0.001    0.000 threading.py:265(_release_save)
       26    0.000    0.000    0.001    0.000 __init__.py:1060(flush)
       20    0.000    0.000    0.000    0.000 threading.py:802(__init__)
       26    0.000    0.000    0.000    0.000 __init__.py:582(formatTime)
