         6934 function calls (6892 primitive calls) in 24.918 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   24.918   24.918 extractor_mt.py:726(main)
        1    0.001    0.001   23.846   23.846 extractor_mt.py:590(extract_watermark_from_video)
       32    0.000    0.000   23.838    0.745 threading.py:563(wait)
      208   23.838    0.115   23.838    0.115 {method 'acquire' of '_thread.lock' objects}
       48    0.000    0.000   23.838    0.497 threading.py:280(wait)
       17    0.000    0.000   23.814    1.401 _base.py:201(as_completed)
        1    0.017    0.017    1.071    1.071 extractor_mt.py:286(read_video)
      908    1.044    0.001    1.044    0.001 {method 'read' of 'cv2.VideoCapture' objects}
        1    0.000    0.000    0.028    0.028 extractor_mt.py:649(<dictcomp>)
       16    0.000    0.000    0.028    0.002 thread.py:161(submit)
       16    0.000    0.000    0.028    0.002 thread.py:180(_adjust_thread_count)
       16    0.000    0.000    0.027    0.002 threading.py:880(start)
        1    0.008    0.008    0.008    0.008 {method 'release' of 'cv2.VideoCapture' objects}
       24    0.000    0.000    0.003    0.000 __init__.py:2089(info)
       26    0.000    0.000    0.003    0.000 __init__.py:1565(_log)
       24    0.000    0.000    0.003    0.000 __init__.py:1436(info)
       26    0.000    0.000    0.002    0.000 __init__.py:1591(handle)
       16    0.002    0.000    0.002    0.000 {built-in method _thread.start_new_thread}
       26    0.000    0.000    0.002    0.000 __init__.py:1645(callHandlers)
       26    0.000    0.000    0.002    0.000 __init__.py:939(handle)
       26    0.000    0.000    0.001    0.000 __init__.py:1178(emit)
       26    0.000    0.000    0.001    0.000 __init__.py:1071(emit)
        1    0.000    0.000    0.001    0.001 _base.py:636(__exit__)
        1    0.000    0.000    0.001    0.001 thread.py:216(shutdown)
       16    0.000    0.000    0.001    0.000 threading.py:1028(join)
       26    0.000    0.000    0.001    0.000 __init__.py:1550(makeRecord)
     1088    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       26    0.000    0.000    0.001    0.000 __init__.py:282(__init__)
       16    0.000    0.000    0.001    0.000 threading.py:1066(_wait_for_tstate_lock)
       26    0.000    0.000    0.001    0.000 __init__.py:916(format)
       26    0.000    0.000    0.001    0.000 __init__.py:650(format)
       26    0.000    0.000    0.001    0.000 __init__.py:1060(flush)
       26    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       26    0.000    0.000    0.000    0.000 __init__.py:582(formatTime)
       16    0.000    0.000    0.000    0.000 threading.py:802(__init__)
       26    0.000    0.000    0.000    0.000 __init__.py:1514(findCaller)
       16    0.000    0.000    0.000    0.000 threading.py:411(acquire)
       34    0.000    0.000    0.000    0.000 threading.py:228(__init__)
        5    0.000    0.000    0.000    0.000 extractor_mt.py:205(bits_to_bytes)
       26    0.000    0.000    0.000    0.000 ntpath.py:214(basename)
