         18756 function calls (18745 primitive calls) in 26.356 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   26.356   26.356 watermark_embedder.py:871(main)
        1    0.005    0.005   22.888   22.888 watermark_embedder.py:731(embed_watermark_in_video)
      147    0.004    0.000   22.851    0.155 threading.py:563(wait)
      275    0.003    0.000   22.847    0.083 threading.py:280(wait)
     1120   22.841    0.020   22.841    0.020 {method 'acquire' of '_thread.lock' objects}
      129    0.004    0.000   22.821    0.177 _base.py:201(as_completed)
        1    0.020    0.020    2.193    2.193 watermark_embedder.py:423(write_video)
      907    2.158    0.002    2.158    0.002 {method 'write' of 'cv2.VideoWriter' objects}
        1    0.023    0.023    1.273    1.273 watermark_embedder.py:391(read_video)
      908    1.238    0.001    1.238    0.001 {method 'read' of 'cv2.VideoCapture' objects}
        1    0.000    0.000    0.050    0.050 watermark_embedder.py:790(<dictcomp>)
      128    0.001    0.000    0.050    0.000 thread.py:161(submit)
      128    0.001    0.000    0.048    0.000 thread.py:180(_adjust_thread_count)
       20    0.000    0.000    0.044    0.002 threading.py:880(start)
        1    0.013    0.013    0.013    0.013 {method 'release' of 'cv2.VideoWriter' objects}
        1    0.010    0.010    0.010    0.010 {method 'release' of 'cv2.VideoCapture' objects}
      256    0.002    0.000    0.004    0.000 _base.py:179(_yield_finished_futures)
        1    0.000    0.000    0.004    0.004 __init__.py:40(__getattr__)
      3/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:1002(_find_and_load)
      3/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      3/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:659(_load_unlocked)
      2/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap_external>:844(exec_module)
      4/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
      2/1    0.000    0.000    0.003    0.003 {built-in method builtins.exec}
        1    0.000    0.000    0.003    0.003 thread.py:4(<module>)
       21    0.000    0.000    0.003    0.000 __init__.py:2089(info)
       21    0.000    0.000    0.003    0.000 __init__.py:1436(info)
       21    0.000    0.000    0.003    0.000 __init__.py:1565(_log)
       20    0.003    0.000    0.003    0.000 {built-in method _thread.start_new_thread}
      133    0.002    0.000    0.003    0.000 __init__.py:2099(debug)
      306    0.003    0.000    0.003    0.000 {built-in method _thread.allocate_lock}
      128    0.001    0.000    0.002    0.000 _base.py:418(result)
       21    0.000    0.000    0.002    0.000 __init__.py:1591(handle)
        1    0.000    0.000    0.002    0.002 queue.py:1(<module>)
       21    0.000    0.000    0.002    0.000 __init__.py:1645(callHandlers)
       21    0.000    0.000    0.002    0.000 __init__.py:939(handle)
       21    0.000    0.000    0.002    0.000 __init__.py:1178(emit)
       21    0.000    0.000    0.002    0.000 __init__.py:1071(emit)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      275    0.001    0.000    0.001    0.000 threading.py:268(_acquire_restore)
        1    0.000    0.000    0.001    0.001 _base.py:636(__exit__)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
        1    0.000    0.000    0.001    0.001 thread.py:216(shutdown)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
      128    0.000    0.000    0.001    0.000 threading.py:411(acquire)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
       20    0.000    0.000    0.001    0.000 threading.py:1028(join)
      127    0.001    0.000    0.001    0.000 threading.py:553(clear)
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:916(get_code)
       17    0.001    0.000    0.001    0.000 {built-in method nt.stat}
       20    0.001    0.000    0.001    0.000 threading.py:802(__init__)
       20    0.000    0.000    0.001    0.000 threading.py:1066(_wait_for_tstate_lock)
      658    0.001    0.000    0.001    0.000 threading.py:259(__exit__)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      658    0.001    0.000    0.001    0.000 threading.py:256(__enter__)
      128    0.000    0.000    0.001    0.000 _base.py:318(__init__)
        2    0.001    0.001    0.001    0.001 {built-in method io.open}
      150    0.001    0.000    0.001    0.000 threading.py:228(__init__)
     1215    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
        1    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      133    0.001    0.000    0.001    0.000 __init__.py:1424(debug)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
        6    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
       21    0.000    0.000    0.001    0.000 __init__.py:1550(makeRecord)
       21    0.000    0.000    0.001    0.000 __init__.py:916(format)
       21    0.000    0.000    0.001    0.000 __init__.py:282(__init__)
       21    0.000    0.000    0.001    0.000 __init__.py:650(format)
      128    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:120(dump)
       21    0.000    0.000    0.001    0.000 __init__.py:1060(flush)
      256    0.001    0.000    0.001    0.000 {method 'remove' of 'set' objects}
        1    0.001    0.001    0.001    0.001 {VideoWriter_fourcc}
       21    0.000    0.000    0.000    0.000 __init__.py:582(formatTime)
      275    0.000    0.000    0.000    0.000 threading.py:271(_is_owned)
       21    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      152    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      154    0.000    0.000    0.000    0.000 __init__.py:1689(isEnabledFor)
      128    0.000    0.000    0.000    0.000 _base.py:388(__get_result)
        4    0.000    0.000    0.000    0.000 {built-in method io.open_code}
      128    0.000    0.000    0.000    0.000 threading.py:82(RLock)
      128    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       21    0.000    0.000    0.000    0.000 threading.py:528(__init__)
       21    0.000    0.000    0.000    0.000 __init__.py:1514(findCaller)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
