         54513 function calls (54469 primitive calls) in 72.289 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   72.289   72.289 watermark_embedder.py:723(main)
        1    0.005    0.005   68.905   68.905 watermark_embedder.py:669(embed_watermark_in_video)
     2172   68.838    0.032   68.838    0.032 {method 'acquire' of '_thread.lock' objects}
      278    0.008    0.000   68.823    0.248 threading.py:563(wait)
      538    0.007    0.000   68.814    0.128 threading.py:280(wait)
      261    0.009    0.000   68.777    0.264 _base.py:201(as_completed)
        1    0.056    0.056    2.398    2.398 watermark_embedder.py:447(write_video)
      907    0.028    0.000    1.559    0.002 format.py:565(append_data)
      907    0.032    0.000    1.507    0.002 ffmpeg.py:563(_append_data)
      909    0.028    0.000    1.456    0.002 _io.py:390(write_frames)
      908    0.005    0.000    1.362    0.001 {method 'send' of 'generator' objects}
      907    1.296    0.001    1.296    0.001 {method 'write' of '_io.BufferedWriter' objects}
        1    0.021    0.021    0.983    0.983 watermark_embedder.py:419(read_video)
      908    0.948    0.001    0.948    0.001 {method 'read' of 'cv2.VideoCapture' objects}
      907    0.676    0.001    0.676    0.001 {cvtColor}
      907    0.038    0.000    0.113    0.000 util.py:45(image_as_uint)
        2    0.000    0.000    0.099    0.049 format.py:343(close)
        1    0.000    0.000    0.099    0.099 ffmpeg.py:558(_close)
        1    0.000    0.000    0.099    0.099 {method 'close' of 'generator' objects}
        6    0.098    0.016    0.098    0.016 {built-in method time.sleep}
        1    0.000    0.000    0.080    0.080 watermark_embedder.py:702(<dictcomp>)
      260    0.001    0.000    0.080    0.000 thread.py:161(submit)
      260    0.001    0.000    0.076    0.000 thread.py:180(_adjust_thread_count)
      907    0.016    0.000    0.075    0.000 _dtype.py:34(__str__)
       20    0.000    0.000    0.071    0.004 threading.py:880(start)
      907    0.021    0.000    0.059    0.000 _dtype.py:346(_name_get)
        1    0.000    0.000    0.039    0.039 _base.py:636(__exit__)
        1    0.000    0.000    0.039    0.039 thread.py:216(shutdown)
       20    0.000    0.000    0.039    0.002 threading.py:1028(join)
       20    0.000    0.000    0.039    0.002 threading.py:1066(_wait_for_tstate_lock)
        1    0.000    0.000    0.033    0.033 ffmpeg.py:607(_initialize)
      907    0.012    0.000    0.028    0.000 _dtype.py:330(_name_includes_bit_suffix)
        1    0.000    0.000    0.027    0.027 _utils.py:13(get_ffmpeg_exe)
        1    0.000    0.000    0.027    0.027 _utils.py:39(_get_ffmpeg_exe)
        1    0.000    0.000    0.025    0.025 _utils.py:105(_is_valid_exe)
        1    0.000    0.000    0.025    0.025 subprocess.py:358(check_call)
        1    0.000    0.000    0.025    0.025 subprocess.py:341(call)
        9    0.020    0.002    0.020    0.002 {built-in method _winapi.WaitForSingleObject}
        2    0.000    0.000    0.020    0.010 subprocess.py:1184(wait)
        2    0.000    0.000    0.020    0.010 subprocess.py:1462(_wait)
      907    0.006    0.000    0.016    0.000 numerictypes.py:357(issubdtype)
      907    0.008    0.000    0.015    0.000 util.py:175(asarray)
        1    0.013    0.013    0.013    0.013 {method 'release' of 'cv2.VideoCapture' objects}
        2    0.000    0.000    0.011    0.005 subprocess.py:756(__init__)
