         27078 function calls (27067 primitive calls) in 66.842 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   66.842   66.842 watermark_embedder.py:1120(main)
        1    0.008    0.008   62.728   62.728 watermark_embedder.py:978(embed_watermark_in_video)
      180    0.006    0.000   62.680    0.348 threading.py:563(wait)
      340    0.005    0.000   62.673    0.184 threading.py:280(wait)
     1380   62.664    0.045   62.664    0.045 {method 'acquire' of '_thread.lock' objects}
      161    0.007    0.000   62.660    0.389 _base.py:201(as_completed)
        1    0.014    0.014    3.344    3.344 watermark_embedder.py:615(write_video)
      411    3.328    0.008    3.328    0.008 {method 'write' of 'cv2.VideoWriter' objects}
        1    0.027    0.027    0.766    0.766 watermark_embedder.py:559(read_video)
      412    0.728    0.002    0.728    0.002 {method 'read' of 'cv2.VideoCapture' objects}
        1    0.000    0.000    0.043    0.043 watermark_embedder.py:1064(<dictcomp>)
      160    0.001    0.000    0.043    0.000 thread.py:161(submit)
      160    0.001    0.000    0.041    0.000 thread.py:180(_adjust_thread_count)
       20    0.000    0.000    0.037    0.002 threading.py:880(start)
        1    0.011    0.011    0.011    0.011 {method 'release' of 'cv2.VideoCapture' objects}
      321    0.003    0.000    0.006    0.000 _base.py:179(_yield_finished_futures)
       26    0.000    0.000    0.005    0.000 __init__.py:1565(_log)
      165    0.002    0.000    0.004    0.000 __init__.py:2099(debug)
      371    0.004    0.000    0.004    0.000 {built-in method _thread.allocate_lock}
       25    0.000    0.000    0.003    0.000 __init__.py:2089(info)
       25    0.000    0.000    0.003    0.000 __init__.py:1436(info)
       26    0.000    0.000    0.003    0.000 __init__.py:1591(handle)
       26    0.000    0.000    0.003    0.000 __init__.py:1645(callHandlers)
        1    0.000    0.000    0.003    0.003 __init__.py:40(__getattr__)
       26    0.000    0.000    0.003    0.000 __init__.py:939(handle)
      3/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:1002(_find_and_load)
