         20317 function calls (20306 primitive calls) in 32.311 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   32.311   32.311 watermark_embedder.py:601(main)
        1    0.007    0.007   29.032   29.032 watermark_embedder.py:508(embed_watermark_in_video)
      180    0.004    0.000   28.992    0.161 threading.py:563(wait)
      340    0.004    0.000   28.988    0.085 threading.py:280(wait)
     1380   28.981    0.021   28.981    0.021 {method 'acquire' of '_thread.lock' objects}
      161    0.005    0.000   28.966    0.180 _base.py:201(as_completed)
        1    0.016    0.016    1.956    1.956 watermark_embedder.py:328(write_video)
      907    1.937    0.002    1.937    0.002 {method 'write' of 'cv2.VideoWriter' objects}
        1    0.030    0.030    1.319    1.319 watermark_embedder.py:297(read_video)
      908    1.278    0.001    1.278    0.001 {method 'read' of 'cv2.VideoCapture' objects}
        1    0.000    0.000    0.048    0.048 watermark_embedder.py:570(<dictcomp>)
      160    0.001    0.000    0.048    0.000 thread.py:161(submit)
      160    0.001    0.000    0.045    0.000 thread.py:180(_adjust_thread_count)
       20    0.000    0.000    0.041    0.002 threading.py:880(start)
        1    0.009    0.009    0.009    0.009 {method 'release' of 'cv2.VideoCapture' objects}
        1    0.000    0.000    0.005    0.005 __init__.py:40(__getattr__)
      3/1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap>:1002(_find_and_load)
      3/1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      3/1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap>:659(_load_unlocked)
      2/1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap_external>:844(exec_module)
      321    0.002    0.000    0.004    0.000 _base.py:179(_yield_finished_futures)
      4/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
      2/1    0.000    0.000    0.004    0.004 {built-in method builtins.exec}
        1    0.000    0.000    0.004    0.004 thread.py:4(<module>)
       25    0.000    0.000    0.004    0.000 __init__.py:1565(_log)
      165    0.002    0.000    0.003    0.000 __init__.py:2099(debug)
      371    0.003    0.000    0.003    0.000 {built-in method _thread.allocate_lock}
       24    0.000    0.000    0.003    0.000 __init__.py:2089(info)
       24    0.000    0.000    0.003    0.000 __init__.py:1436(info)
       20    0.003    0.000    0.003    0.000 {built-in method _thread.start_new_thread}
       25    0.000    0.000    0.002    0.000 __init__.py:1591(handle)
       25    0.000    0.000    0.002    0.000 __init__.py:1645(callHandlers)
       25    0.000    0.000    0.002    0.000 __init__.py:939(handle)
       25    0.000    0.000    0.002    0.000 __init__.py:1178(emit)
       25    0.000    0.000    0.002    0.000 __init__.py:1071(emit)
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:916(get_code)
      160    0.001    0.000    0.002    0.000 threading.py:411(acquire)
        1    0.000    0.000    0.002    0.002 queue.py:1(<module>)
        4    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
      160    0.001    0.000    0.002    0.000 _base.py:418(result)
      182    0.001    0.000    0.002    0.000 threading.py:228(__init__)
      160    0.000    0.000    0.002    0.000 _base.py:318(__init__)
       25    0.000    0.000    0.002    0.000 __init__.py:916(format)
       25    0.000    0.000    0.002    0.000 __init__.py:650(format)
        1    0.002    0.002    0.002    0.002 {method 'release' of 'cv2.VideoWriter' objects}
      160    0.001    0.000    0.001    0.000 threading.py:553(clear)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:901(_find_spec)
       20    0.000    0.000    0.001    0.000 threading.py:802(__init__)
       18    0.001    0.000    0.001    0.000 {built-in method nt.stat}
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
      340    0.001    0.000    0.001    0.000 threading.py:268(_acquire_restore)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
        4    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
      820    0.001    0.000    0.001    0.000 threading.py:259(__exit__)
        1    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.001    0.001 _base.py:636(__exit__)
        1    0.000    0.000    0.001    0.001 thread.py:216(shutdown)
      165    0.001    0.000    0.001    0.000 __init__.py:1424(debug)
     1283    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       20    0.000    0.000    0.001    0.000 threading.py:1028(join)
      820    0.001    0.000    0.001    0.000 threading.py:256(__enter__)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
       20    0.000    0.000    0.001    0.000 threading.py:1066(_wait_for_tstate_lock)
        1    0.000    0.000    0.001    0.001 __init__.py:2056(error)
        1    0.000    0.000    0.001    0.001 __init__.py:1465(error)
      320    0.001    0.000    0.001    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:609(formatException)
        1    0.000    0.000    0.001    0.001 traceback.py:87(print_exception)
       25    0.000    0.000    0.001    0.000 __init__.py:1550(makeRecord)
        1    0.000    0.000    0.001    0.001 traceback.py:468(__init__)
       25    0.000    0.000    0.001    0.000 __init__.py:282(__init__)
        1    0.000    0.000    0.001    0.001 traceback.py:321(extract)
        1    0.001    0.001    0.001    0.001 {VideoWriter_fourcc}
        4    0.000    0.000    0.001    0.000 traceback.py:285(line)
        1    0.000    0.000    0.001    0.001 linecache.py:26(getline)
        1    0.000    0.000    0.001    0.001 linecache.py:36(getlines)
        1    0.000    0.000    0.001    0.001 linecache.py:80(updatecache)
      190    0.001    0.000    0.001    0.000 __init__.py:1689(isEnabledFor)
      160    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
       20    0.000    0.000    0.001    0.000 _weakrefset.py:86(add)
       25    0.000    0.000    0.001    0.000 __init__.py:1060(flush)
      160    0.000    0.000    0.000    0.000 threading.py:82(RLock)
      340    0.000    0.000    0.000    0.000 threading.py:271(_is_owned)
       25    0.000    0.000    0.000    0.000 __init__.py:582(formatTime)
       25    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
       21    0.000    0.000    0.000    0.000 threading.py:528(__init__)
      160    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.000    0.000 {method 'hex' of 'bytes' objects}
      340    0.000    0.000    0.000    0.000 threading.py:265(_release_save)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       25    0.000    0.000    0.000    0.000 __init__.py:1514(findCaller)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
     1007    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       25    0.000    0.000    0.000    0.000 ntpath.py:214(basename)
       42    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       25    0.000    0.000    0.000    0.000 ntpath.py:180(split)
