         53668 function calls (53624 primitive calls) in 61.682 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   61.682   61.682 watermark_embedder.py:608(main)
        1    0.004    0.004   57.401   57.401 watermark_embedder.py:555(embed_watermark_in_video)
     2105   57.362    0.027   57.362    0.027 {method 'acquire' of '_thread.lock' objects}
      261    0.006    0.000   57.062    0.219 _base.py:201(as_completed)
      265    0.005    0.000   57.055    0.215 threading.py:563(wait)
      525    0.004    0.000   57.050    0.109 threading.py:280(wait)
        1    0.117    0.117    3.310    3.310 watermark_embedder.py:362(write_video)
      907    0.039    0.000    2.097    0.002 format.py:565(append_data)
      907    0.036    0.000    2.003    0.002 ffmpeg.py:563(_append_data)
      909    0.056    0.000    1.896    0.002 _io.py:390(write_frames)
      908    0.008    0.000    1.794    0.002 {method 'send' of 'generator' objects}
      907    1.698    0.002    1.698    0.002 {method 'write' of '_io.BufferedWriter' objects}
      907    0.979    0.001    0.979    0.001 {cvtColor}
        1    0.020    0.020    0.962    0.962 watermark_embedder.py:334(read_video)
      908    0.927    0.001    0.927    0.001 {method 'read' of 'cv2.VideoCapture' objects}
        1    0.000    0.000    0.322    0.322 _base.py:636(__exit__)
        1    0.000    0.000    0.322    0.322 thread.py:216(shutdown)
        5    0.000    0.000    0.322    0.064 threading.py:1028(join)
        5    0.000    0.000    0.322    0.064 threading.py:1066(_wait_for_tstate_lock)
      907    0.075    0.000    0.173    0.000 util.py:45(image_as_uint)
        2    0.000    0.000    0.110    0.055 format.py:343(close)
        1    0.000    0.000    0.110    0.110 ffmpeg.py:558(_close)
        1    0.000    0.000    0.110    0.110 {method 'close' of 'generator' objects}
        6    0.110    0.018    0.110    0.018 {built-in method time.sleep}
      907    0.023    0.000    0.097    0.000 _dtype.py:34(__str__)
      907    0.023    0.000    0.074    0.000 _dtype.py:346(_name_get)
      907    0.010    0.000    0.042    0.000 util.py:175(asarray)
        1    0.000    0.000    0.033    0.033 ffmpeg.py:607(_initialize)
      907    0.032    0.000    0.032    0.000 {method 'view' of 'numpy.ndarray' objects}
      907    0.008    0.000    0.029    0.000 _dtype.py:330(_name_includes_bit_suffix)
        1    0.000    0.000    0.027    0.027 _utils.py:13(get_ffmpeg_exe)
        1    0.000    0.000    0.027    0.027 _utils.py:39(_get_ffmpeg_exe)
        1    0.000    0.000    0.025    0.025 _utils.py:105(_is_valid_exe)
        1    0.000    0.000    0.025    0.025 subprocess.py:358(check_call)
        1    0.000    0.000    0.025    0.025 subprocess.py:341(call)
      907    0.011    0.000    0.021    0.000 numerictypes.py:357(issubdtype)
        9    0.020    0.002    0.020    0.002 {built-in method _winapi.WaitForSingleObject}
        2    0.000    0.000    0.020    0.010 subprocess.py:1184(wait)
        2    0.000    0.000    0.020    0.010 subprocess.py:1462(_wait)
      968    0.019    0.000    0.019    0.000 {method 'format' of 'str' objects}
        1    0.013    0.013    0.013    0.013 {method 'release' of 'cv2.VideoCapture' objects}
     1814    0.007    0.000    0.011    0.000 numerictypes.py:283(issubclass_)
        2    0.000    0.000    0.010    0.005 subprocess.py:756(__init__)
        2    0.000    0.000    0.010    0.005 subprocess.py:1334(_execute_child)
        1    0.000    0.000    0.010    0.010 watermark_embedder.py:588(<dictcomp>)
      907    0.007    0.000    0.010    0.000 format.py:359(_checkClosed)
      260    0.000    0.000    0.010    0.000 thread.py:161(submit)
        2    0.010    0.005    0.010    0.005 {built-in method _winapi.CreateProcess}
       20    0.000    0.000    0.009    0.000 __init__.py:2089(info)
       21    0.000    0.000    0.009    0.000 __init__.py:1565(_log)
       20    0.000    0.000    0.008    0.000 __init__.py:1436(info)
      260    0.000    0.000    0.008    0.000 thread.py:180(_adjust_thread_count)
