         16713 function calls (16702 primitive calls) in 10.932 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   10.932   10.932 watermark_extractor.py:706(main)
        1    0.003    0.003    9.807    9.807 watermark_extractor.py:580(extract_watermark_from_video)
      146    0.003    0.000    9.780    0.067 threading.py:563(wait)
      274    0.003    0.000    9.776    0.036 threading.py:280(wait)
     1116    9.771    0.009    9.771    0.009 {method 'acquire' of '_thread.lock' objects}
      129    0.004    0.000    9.755    0.076 _base.py:201(as_completed)
        1    0.032    0.032    1.123    1.123 watermark_extractor.py:278(read_video)
      908    1.082    0.001    1.082    0.001 {method 'read' of 'cv2.VideoCapture' objects}
        1    0.000    0.000    0.040    0.040 watermark_extractor.py:662(<dictcomp>)
      128    0.000    0.000    0.040    0.000 thread.py:161(submit)
      128    0.001    0.000    0.038    0.000 thread.py:180(_adjust_thread_count)
       20    0.000    0.000    0.035    0.002 threading.py:880(start)
        1    0.007    0.007    0.007    0.007 {method 'release' of 'cv2.VideoCapture' objects}
        1    0.000    0.000    0.003    0.003 __init__.py:40(__getattr__)
      3/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:1002(_find_and_load)
      3/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      255    0.001    0.000    0.003    0.000 _base.py:179(_yield_finished_futures)
      3/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:659(_load_unlocked)
      2/1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap_external>:844(exec_module)
      4/1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
       20    0.002    0.000    0.002    0.000 {built-in method _thread.start_new_thread}
      2/1    0.000    0.000    0.002    0.002 {built-in method builtins.exec}
        1    0.000    0.000    0.002    0.002 thread.py:4(<module>)
       21    0.000    0.000    0.002    0.000 __init__.py:2089(info)
       21    0.000    0.000    0.002    0.000 __init__.py:1436(info)
       21    0.000    0.000    0.002    0.000 __init__.py:1565(_log)
      130    0.001    0.000    0.002    0.000 __init__.py:2099(debug)
      305    0.002    0.000    0.002    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
       21    0.000    0.000    0.001    0.000 __init__.py:1591(handle)
       18    0.001    0.000    0.001    0.000 {built-in method nt.stat}
      128    0.000    0.000    0.001    0.000 threading.py:411(acquire)
       21    0.000    0.000    0.001    0.000 __init__.py:1645(callHandlers)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:901(_find_spec)
