         21218 function calls (21191 primitive calls) in 36.288 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   36.288   36.288 watermark_extractor.py:1082(main)
        1    0.009    0.009   33.885   33.885 watermark_extractor.py:809(extract_watermark_from_video)
      178    0.005    0.000   33.816    0.190 threading.py:563(wait)
      338    0.006    0.000   33.813    0.100 threading.py:280(wait)
     1372   33.803    0.025   33.803    0.025 {method 'acquire' of '_thread.lock' objects}
      161    0.006    0.000   33.746    0.210 _base.py:201(as_completed)
        1    0.038    0.038    2.400    2.400 watermark_extractor.py:512(read_video)
      908    2.341    0.003    2.341    0.003 {method 'read' of 'cv2.VideoCapture' objects}
        1    0.000    0.000    0.101    0.101 watermark_extractor.py:934(<dictcomp>)
      160    0.001    0.000    0.101    0.001 thread.py:161(submit)
      160    0.001    0.000    0.095    0.001 thread.py:180(_adjust_thread_count)
       20    0.000    0.000    0.088    0.004 threading.py:880(start)
        1    0.018    0.018    0.018    0.018 {method 'release' of 'cv2.VideoCapture' objects}
       30    0.000    0.000    0.010    0.000 __init__.py:2089(info)
       31    0.000    0.000    0.010    0.000 __init__.py:1565(_log)
       30    0.000    0.000    0.010    0.000 __init__.py:1436(info)
        1    0.000    0.000    0.009    0.009 __init__.py:40(__getattr__)
      3/1    0.000    0.000    0.009    0.009 <frozen importlib._bootstrap>:1002(_find_and_load)
      3/1    0.000    0.000    0.009    0.009 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      3/1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap>:659(_load_unlocked)
      2/1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap_external>:844(exec_module)
      4/1    0.000    0.000    0.007    0.007 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
      2/1    0.000    0.000    0.007    0.007 {built-in method builtins.exec}
        1    0.000    0.000    0.006    0.006 thread.py:4(<module>)
       31    0.000    0.000    0.006    0.000 __init__.py:1591(handle)
       31    0.000    0.000    0.006    0.000 __init__.py:1645(callHandlers)
       31    0.000    0.000    0.006    0.000 __init__.py:939(handle)
       31    0.000    0.000    0.005    0.000 __init__.py:1178(emit)
      319    0.003    0.000    0.005    0.000 _base.py:179(_yield_finished_futures)
       31    0.000    0.000    0.005    0.000 __init__.py:1071(emit)
      160    0.002    0.000    0.004    0.000 _base.py:318(__init__)
      160    0.001    0.000    0.004    0.000 threading.py:411(acquire)
        3    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:901(_find_spec)
        3    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:1415(find_spec)
        3    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:1383(_get_spec)
       20    0.003    0.000    0.003    0.000 {built-in method _thread.start_new_thread}
       10    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
      167    0.002    0.000    0.003    0.000 __init__.py:2099(debug)
      369    0.003    0.000    0.003    0.000 {built-in method _thread.allocate_lock}
       18    0.003    0.000    0.003    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.003    0.003 queue.py:1(<module>)
       31    0.000    0.000    0.003    0.000 __init__.py:1550(makeRecord)
       31    0.001    0.000    0.003    0.000 __init__.py:282(__init__)
        1    0.000    0.000    0.003    0.003 watermark_extractor.py:363(load_saved_rings)
        2    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:916(get_code)
       31    0.000    0.000    0.003    0.000 __init__.py:916(format)
       31    0.000    0.000    0.003    0.000 __init__.py:650(format)
       15    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      160    0.002    0.000    0.002    0.000 _base.py:418(result)
      182    0.002    0.000    0.002    0.000 threading.py:228(__init__)
        1    0.000    0.000    0.002    0.002 _base.py:636(__exit__)
        1    0.000    0.000    0.002    0.002 thread.py:216(shutdown)
      158    0.001    0.000    0.002    0.000 threading.py:553(clear)
       20    0.000    0.000    0.002    0.000 threading.py:1028(join)
      338    0.001    0.000    0.002    0.000 threading.py:268(_acquire_restore)
      816    0.001    0.000    0.002    0.000 threading.py:259(__exit__)
        3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:558(module_from_spec)
       31    0.000    0.000    0.002    0.000 __init__.py:582(formatTime)
       31    0.000    0.000    0.002    0.000 __init__.py:1060(flush)
      816    0.001    0.000    0.002    0.000 threading.py:256(__enter__)
        4    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
     1284    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
       20    0.000    0.000    0.002    0.000 threading.py:1066(_wait_for_tstate_lock)
       20    0.001    0.000    0.002    0.000 threading.py:802(__init__)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:1171(create_module)
        1    0.002    0.002    0.002    0.002 {built-in method _imp.create_dynamic}
       31    0.001    0.000    0.001    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      167    0.001    0.000    0.001    0.000 __init__.py:1424(debug)
       31    0.000    0.000    0.001    0.000 ntpath.py:214(basename)
       31    0.001    0.000    0.001    0.000 ntpath.py:180(split)
        4    0.001    0.000    0.001    0.000 {built-in method io.open_code}
       31    0.000    0.000    0.001    0.000 __init__.py:1514(findCaller)
      338    0.001    0.000    0.001    0.000 threading.py:271(_is_owned)
        1    0.000    0.000    0.001    0.001 __init__.py:274(load)
       31    0.001    0.000    0.001    0.000 {built-in method time.strftime}
       47    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
      320    0.001    0.000    0.001    0.000 {method 'remove' of 'set' objects}
      160    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
       31    0.001    0.000    0.001    0.000 {built-in method time.localtime}
        3    0.000    0.000    0.001    0.000 genericpath.py:16(exists)
      160    0.001    0.000    0.001    0.000 threading.py:82(RLock)
        1    0.000    0.000    0.001    0.001 __init__.py:299(loads)
      338    0.001    0.000    0.001    0.000 threading.py:265(_release_save)
      161    0.000    0.000    0.001    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.001    0.001 decoder.py:332(decode)
      198    0.001    0.000    0.001    0.000 __init__.py:1689(isEnabledFor)
        1    0.001    0.001    0.001    0.001 decoder.py:343(raw_decode)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        4    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
     1001    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
       21    0.000    0.000    0.001    0.000 threading.py:528(__init__)
        5    0.000    0.000    0.001    0.000 watermark_extractor.py:394(bits_to_bytes)
       31    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       31    0.000    0.000    0.000    0.000 ntpath.py:203(splitext)
        1    0.000    0.000    0.000    0.000 __init__.py:2056(error)
        1    0.000    0.000    0.000    0.000 __init__.py:1465(error)
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
      160    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      868    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       62    0.000    0.000    0.000    0.000 ntpath.py:44(normcase)
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
