         19879 function calls (19854 primitive calls) in 24.985 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   24.985   24.985 watermark_extractor.py:551(main)
        1    0.006    0.006   24.045   24.045 watermark_extractor.py:394(extract_watermark_from_video)
      180    0.005    0.000   23.997    0.133 threading.py:563(wait)
      340    0.003    0.000   23.992    0.071 threading.py:280(wait)
     1380   23.984    0.017   23.984    0.017 {method 'acquire' of '_thread.lock' objects}
      161    0.004    0.000   23.974    0.149 _base.py:201(as_completed)
        1    0.020    0.020    0.939    0.939 watermark_extractor.py:255(read_video)
      908    0.910    0.001    0.910    0.001 {method 'read' of 'cv2.VideoCapture' objects}
        1    0.000    0.000    0.042    0.042 watermark_extractor.py:475(<dictcomp>)
      160    0.001    0.000    0.041    0.000 thread.py:161(submit)
      160    0.001    0.000    0.039    0.000 thread.py:180(_adjust_thread_count)
       20    0.000    0.000    0.035    0.002 threading.py:880(start)
        1    0.000    0.000    0.017    0.017 __init__.py:40(__getattr__)
      3/1    0.000    0.000    0.017    0.017 <frozen importlib._bootstrap>:1002(_find_and_load)
      3/1    0.000    0.000    0.017    0.017 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      3/1    0.000    0.000    0.016    0.016 <frozen importlib._bootstrap>:659(_load_unlocked)
      2/1    0.000    0.000    0.016    0.016 <frozen importlib._bootstrap_external>:844(exec_module)
        2    0.000    0.000    0.013    0.007 <frozen importlib._bootstrap_external>:916(get_code)
        4    0.000    0.000    0.013    0.003 <frozen importlib._bootstrap_external>:1036(get_data)
        4    0.012    0.003    0.012    0.003 {method 'read' of '_io.BufferedReader' objects}
        1    0.007    0.007    0.007    0.007 {method 'release' of 'cv2.VideoCapture' objects}
      4/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
      2/1    0.000    0.000    0.004    0.004 {built-in method builtins.exec}
        1    0.000    0.000    0.004    0.004 thread.py:4(<module>)
      321    0.002    0.000    0.004    0.000 _base.py:179(_yield_finished_futures)
      371    0.003    0.000    0.003    0.000 {built-in method _thread.allocate_lock}
      167    0.002    0.000    0.003    0.000 __init__.py:2099(debug)
       29    0.000    0.000    0.002    0.000 __init__.py:2089(info)
       20    0.002    0.000    0.002    0.000 {built-in method _thread.start_new_thread}
       29    0.000    0.000    0.002    0.000 __init__.py:1436(info)
       30    0.000    0.000    0.002    0.000 __init__.py:1565(_log)
        1    0.000    0.000    0.002    0.002 queue.py:1(<module>)
      160    0.001    0.000    0.002    0.000 _base.py:418(result)
        3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:558(module_from_spec)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:1171(create_module)
        1    0.002    0.002    0.002    0.002 {built-in method _imp.create_dynamic}
      160    0.001    0.000    0.002    0.000 threading.py:411(acquire)
      160    0.001    0.000    0.001    0.000 _base.py:318(__init__)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:901(_find_spec)
       30    0.000    0.000    0.001    0.000 __init__.py:1591(handle)
       30    0.000    0.000    0.001    0.000 __init__.py:1645(callHandlers)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
       30    0.000    0.000    0.001    0.000 __init__.py:939(handle)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
      340    0.001    0.000    0.001    0.000 threading.py:268(_acquire_restore)
       30    0.000    0.000    0.001    0.000 __init__.py:1178(emit)
       30    0.000    0.000    0.001    0.000 __init__.py:1071(emit)
      160    0.001    0.000    0.001    0.000 threading.py:553(clear)
      820    0.001    0.000    0.001    0.000 threading.py:259(__exit__)
       17    0.001    0.000    0.001    0.000 {built-in method nt.stat}
      182    0.001    0.000    0.001    0.000 threading.py:228(__init__)
      820    0.001    0.000    0.001    0.000 threading.py:256(__enter__)
      167    0.001    0.000    0.001    0.000 __init__.py:1424(debug)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        1    0.000    0.000    0.001    0.001 _base.py:636(__exit__)
        1    0.000    0.000    0.001    0.001 thread.py:216(shutdown)
       20    0.000    0.000    0.001    0.000 threading.py:802(__init__)
       20    0.000    0.000    0.001    0.000 threading.py:1028(join)
     1284    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       20    0.000    0.000    0.001    0.000 threading.py:1066(_wait_for_tstate_lock)
       30    0.000    0.000    0.001    0.000 __init__.py:1550(makeRecord)
       30    0.000    0.000    0.001    0.000 __init__.py:282(__init__)
       30    0.000    0.000    0.001    0.000 __init__.py:916(format)
       30    0.000    0.000    0.001    0.000 __init__.py:650(format)
      197    0.001    0.000    0.001    0.000 __init__.py:1689(isEnabledFor)
      320    0.001    0.000    0.001    0.000 {method 'remove' of 'set' objects}
      160    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      340    0.000    0.000    0.000    0.000 threading.py:271(_is_owned)
        4    0.000    0.000    0.000    0.000 {built-in method io.open_code}
       30    0.000    0.000    0.000    0.000 __init__.py:1060(flush)
       30    0.000    0.000    0.000    0.000 __init__.py:582(formatTime)
      160    0.000    0.000    0.000    0.000 threading.py:82(RLock)
      340    0.000    0.000    0.000    0.000 threading.py:265(_release_save)
       30    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      160    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       21    0.000    0.000    0.000    0.000 threading.py:528(__init__)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
     1007    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       30    0.000    0.000    0.000    0.000 __init__.py:1514(findCaller)
       30    0.000    0.000    0.000    0.000 ntpath.py:214(basename)
      320    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
      864    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      160    0.000    0.000    0.000    0.000 _base.py:388(__get_result)
       30    0.000    0.000    0.000    0.000 ntpath.py:180(split)
      340    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       30    0.000    0.000    0.000    0.000 {built-in method time.strftime}
        2    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      500    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
       20    0.000    0.000    0.000    0.000 weakref.py:428(__setitem__)
       30    0.000    0.000    0.000    0.000 {built-in method time.localtime}
       20    0.000    0.000    0.000    0.000 threading.py:992(_stop)
       30    0.000    0.000    0.000    0.000 ntpath.py:203(splitext)
